x,y,yaw,image_path,Ripe_scores,Raw_scores,tree_score
1.36808,-3.75877,1.378095,Screenshot_x_1_36808_y_-3_75877_yaw_1_378095.png,[],[],0.5
1.36808,-3.75877,1.010576,Screenshot_x_1_36808_y_-3_75877_yaw_1_010576.png,[],[],0.5
1.36808,-3.75877,0.6265066,Screenshot_x_1_36808_y_-3_75877_yaw_0_6265066.png,[],[],0.5
1.36808,-3.75877,0.2608478,Screenshot_x_1_36808_y_-3_75877_yaw_0_2608478.png,[],[],0.5
1.36808,-3.75877,6.178861,Screenshot_x_1_36808_y_-3_75877_yaw_6_178861.png,[],[],0.5
1.36808,-3.75877,5.813487,Screenshot_x_1_36808_y_-3_75877_yaw_5_813487.png,[],[],0.5
1.36808,-3.75877,5.447323,Screenshot_x_1_36808_y_-3_75877_yaw_5_447323.png,[],[],0.5
1.36808,-3.75877,5.062682,Screenshot_x_1_36808_y_-3_75877_yaw_5_062682.png,[],[],0.5
2.57115,-3.064178,5.412399,Screenshot_x_2_57115_y_-3_064178_yaw_5_412399.png,[],[],0.5
2.57115,-3.064178,5.045177,Screenshot_x_2_57115_y_-3_064178_yaw_5_045177.png,[],[],0.5
2.57115,-3.064178,4.677349,Screenshot_x_2_57115_y_-3_064178_yaw_4_677349.png,[],[],0.5
2.57115,-3.064178,4.30959,Screenshot_x_2_57115_y_-3_064178_yaw_4_30959.png,[],[],0.5
2.57115,-3.064178,3.942539,Screenshot_x_2_57115_y_-3_064178_yaw_3_942539.png,[],[],0.5
2.57115,-3.064178,3.576466,Screenshot_x_2_57115_y_-3_064178_yaw_3_576466.png,[],[],0.5
2.57115,-3.064178,3.193753,Screenshot_x_2_57115_y_-3_064178_yaw_3_193753.png,[],[],0.5
2.57115,-3.064178,2.828552,Screenshot_x_2_57115_y_-3_064178_yaw_2_828552.png,[],[],0.5
2.57115,-3.064178,2.462778,Screenshot_x_2_57115_y_-3_064178_yaw_2_462778.png,[],[],0.5
2.57115,-3.064178,2.096047,Screenshot_x_2_57115_y_-3_064178_yaw_2_096047.png,[],[],0.5
2.57115,-3.064178,1.728466,Screenshot_x_2_57115_y_-3_064178_yaw_1_728466.png,[],[],0.5
2.57115,-3.064178,1.36058,Screenshot_x_2_57115_y_-3_064178_yaw_1_36058.png,[],[],0.5
2.57115,-3.064178,0.9756157,Screenshot_x_2_57115_y_-3_064178_yaw_0_9756157.png,[],[],0.5
2.57115,-3.064178,0.6090751,Screenshot_x_2_57115_y_-3_064178_yaw_0_6090751.png,[],[],0.5
2.57115,-3.064178,0.2434526,Screenshot_x_2_57115_y_-3_064178_yaw_0_2434526.png,[],[],0.5
2.57115,-3.064178,6.161472,Screenshot_x_2_57115_y_-3_064178_yaw_6_161472.png,[],[],0.5
2.57115,-3.064178,5.796072,Screenshot_x_2_57115_y_-3_064178_yaw_5_796072.png,[],[],0.5
2.57115,-3.064178,5.412399,Screenshot_x_2_57115_y_-3_064178_yaw_5_412399.png,[],[],0.5
3.464102,-2.0,5.761236,Screenshot_x_3_464102_y_-2_yaw_5_761236.png,[],[],0.5
3.464102,-2.0,5.394933,Screenshot_x_3_464102_y_-2_yaw_5_394933.png,[],[],0.5
3.464102,-2.0,5.02767,Screenshot_x_3_464102_y_-2_yaw_5_02767.png,[],[],0.5
3.464102,-2.0,4.659829,Screenshot_x_3_464102_y_-2_yaw_4_659829.png,[],[],0.5
3.464102,-2.0,4.292091,Screenshot_x_3_464102_y_-2_yaw_4_292091.png,[],[],0.5
3.464102,-2.0,3.925084,Screenshot_x_3_464102_y_-2_yaw_3_925084.png,[],[],0.5
3.464102,-2.0,3.541649,Screenshot_x_3_464102_y_-2_yaw_3_541649.png,[],[],0.5
3.464102,-2.0,3.176367,Screenshot_x_3_464102_y_-2_yaw_3_176367.png,[],[],0.5
3.464102,-2.0,2.811152,Screenshot_x_3_464102_y_-2_yaw_2_811152.png,[],[],0.5
3.464102,-2.0,2.445338,Screenshot_x_3_464102_y_-2_yaw_2_445338.png,[],[],0.5
3.464102,-2.0,2.07856,Screenshot_x_3_464102_y_-2_yaw_2_07856.png,[],[],0.5
3.464102,-2.0,1.710949,Screenshot_x_3_464102_y_-2_yaw_1_710949.png,[],[],0.5
3.464102,-2.0,1.325554,Screenshot_x_3_464102_y_-2_yaw_1_325554.png,[],[],0.5
3.464102,-2.0,0.9581386,Screenshot_x_3_464102_y_-2_yaw_0_9581386.png,[],[],0.5
3.464102,-2.0,0.5916458,Screenshot_x_3_464102_y_-2_yaw_0_5916458.png,[],[],0.5
3.464102,-2.0,0.2260585,Screenshot_x_3_464102_y_-2_yaw_0_2260585.png,[],[],0.5
3.464102,-2.0,6.144083,Screenshot_x_3_464102_y_-2_yaw_6_144083.png,[],[],0.5
3.464102,-2.0,5.761236,Screenshot_x_3_464102_y_-2_yaw_5_761236.png,[],[],0.5
3.939231,-0.6945929,6.109303,Screenshot_x_3_939231_y_-0_6945929_yaw_6_109303.png,[],[],0.5
3.939231,-0.6945929,5.743815,Screenshot_x_3_939231_y_-0_6945929_yaw_5_743815.png,[],[],0.5
3.939231,-0.6945929,5.377464,Screenshot_x_3_939231_y_-0_6945929_yaw_5_377464.png,[],[],0.5
3.939231,-0.6945929,5.010162,Screenshot_x_3_939231_y_-0_6945929_yaw_5_010162.png,[],[],0.5
3.939231,-0.6945929,4.64231,Screenshot_x_3_939231_y_-0_6945929_yaw_4_64231.png,[],[],0.5
3.939231,-0.6945929,4.274595,Screenshot_x_3_939231_y_-0_6945929_yaw_4_274595.png,[],[],0.5
3.939231,-0.6945929,3.890183,Screenshot_x_3_939231_y_-0_6945929_yaw_3_890183.png,[],[],0.5
3.939231,-0.6945929,3.524243,Screenshot_x_3_939231_y_-0_6945929_yaw_3_524243.png,[],[],0.5
3.939231,-0.6945929,3.158979,Screenshot_x_3_939231_y_-0_6945929_yaw_3_158979.png,[],[],0.5
3.939231,-0.6945929,2.79375,Screenshot_x_3_939231_y_-0_6945929_yaw_2_79375.png,[],[],0.5
3.939231,-0.6945929,2.427895,Screenshot_x_3_939231_y_-0_6945929_yaw_2_427895.png,[],[],0.5
3.939231,-0.6945929,2.06107,Screenshot_x_3_939231_y_-0_6945929_yaw_2_06107.png,[],[],0.5
3.939231,-0.6945929,1.675913,Screenshot_x_3_939231_y_-0_6945929_yaw_1_675913.png,[],[],0.5
3.939231,-0.6945929,1.308042,Screenshot_x_3_939231_y_-0_6945929_yaw_1_308042.png,[],[],0.5
3.939231,-0.6945929,0.9406637,Screenshot_x_3_939231_y_-0_6945929_yaw_0_9406637.png,[],[],0.5
3.939231,-0.6945929,0.5742185,Screenshot_x_3_939231_y_-0_6945929_yaw_0_5742185.png,[],[],0.5
3.939231,-0.6945929,0.2086656,Screenshot_x_3_939231_y_-0_6945929_yaw_0_2086656.png,[],[],0.5
3.939231,-0.6945929,6.109303,Screenshot_x_3_939231_y_-0_6945929_yaw_6_109303.png,[],[],0.5
3.939231,0.6945928,0.1738822,Screenshot_x_3_939231_y_0_6945928_yaw_0_1738822.png,[],[],0.5
3.939231,0.6945928,6.091912,Screenshot_x_3_939231_y_0_6945928_yaw_6_091912.png,[],[],0.5
3.939231,0.6945928,5.726392,Screenshot_x_3_939231_y_0_6945928_yaw_5_726392.png,[],[],0.5
3.939231,0.6945928,5.359994,Screenshot_x_3_939231_y_0_6945928_yaw_5_359994.png,[],[],0.5
3.939231,0.6945928,4.992654,Screenshot_x_3_939231_y_0_6945928_yaw_4_992654.png,[],[],0.5
3.939231,0.6945928,4.624791,Screenshot_x_3_939231_y_0_6945928_yaw_4_624791.png,[],[],0.5
3.939231,0.6945928,4.239606,Screenshot_x_3_939231_y_0_6945928_yaw_4_239606.png,[],[],0.5
3.939231,0.6945928,3.872736,Screenshot_x_3_939231_y_0_6945928_yaw_3_872736.png,[],[],0.5
3.939231,0.6945928,3.506838,Screenshot_x_3_939231_y_0_6945928_yaw_3_506838.png,[],"[0.7760588526725769, 0.6919542551040649, 0.6573426127433777]",0.5
3.939231,0.6945928,3.141593,Screenshot_x_3_939231_y_0_6945928_yaw_3_141593.png,[],"[0.6579096913337708, 0.6575216054916382]",0.5
3.939231,0.6945928,2.776347,Screenshot_x_3_939231_y_0_6945928_yaw_2_776347.png,[],[],0.5
3.939231,0.6945928,2.41045,Screenshot_x_3_939231_y_0_6945928_yaw_2_41045.png,[],[],0.5
3.939231,0.6945928,2.026086,Screenshot_x_3_939231_y_0_6945928_yaw_2_026086.png,[],[],0.5
3.939231,0.6945928,1.658394,Screenshot_x_3_939231_y_0_6945928_yaw_1_658394.png,[],[],0.5
3.939231,0.6945928,1.290532,Screenshot_x_3_939231_y_0_6945928_yaw_1_290532.png,[],[],0.5
3.939231,0.6945928,0.9231911,Screenshot_x_3_939231_y_0_6945928_yaw_0_9231911.png,[],[],0.5
3.939231,0.6945928,0.5567936,Screenshot_x_3_939231_y_0_6945928_yaw_0_5567936.png,[],[],0.5
3.939231,0.6945928,0.1738821,Screenshot_x_3_939231_y_0_6945928_yaw_0_1738821.png,[],[],0.5
3.464102,2.0,0.5219496,Screenshot_x_3_464102_y_2_yaw_0_5219496.png,[],[],0.5
3.464102,2.0,0.1564917,Screenshot_x_3_464102_y_2_yaw_0_1564917.png,[],[],0.5
3.464102,2.0,6.07452,Screenshot_x_3_464102_y_2_yaw_6_07452.png,[],[],0.5
3.464102,2.0,5.708967,Screenshot_x_3_464102_y_2_yaw_5_708967.png,[],[],0.5
3.464102,2.0,5.342522,Screenshot_x_3_464102_y_2_yaw_5_342522.png,[],[],0.5
3.464102,2.0,4.975143,Screenshot_x_3_464102_y_2_yaw_4_975143.png,[],[],0.5
3.464102,2.0,4.589754,Screenshot_x_3_464102_y_2_yaw_4_589754.png,[],[],0.5
3.464102,2.0,4.222115,Screenshot_x_3_464102_y_2_yaw_4_222115.png,[],[],0.5
3.464102,2.0,3.85529,Screenshot_x_3_464102_y_2_yaw_3_85529.png,[],"[0.747797429561615, 0.6350280046463013]",0.5
3.464102,2.0,3.489435,Screenshot_x_3_464102_y_2_yaw_3_489435.png,[],[],0.5
3.464102,2.0,3.124206,Screenshot_x_3_464102_y_2_yaw_3_124206.png,[],[],0.5
3.464102,2.0,2.758943,Screenshot_x_3_464102_y_2_yaw_2_758943.png,[],[],0.5
3.464102,2.0,2.375553,Screenshot_x_3_464102_y_2_yaw_2_375553.png,[],[],0.5
3.464102,2.0,2.008591,Screenshot_x_3_464102_y_2_yaw_2_008591.png,[],[],0.5
3.464102,2.0,1.640875,Screenshot_x_3_464102_y_2_yaw_1_640875.png,[],[],0.5
3.464102,2.0,1.273023,Screenshot_x_3_464102_y_2_yaw_1_273023.png,[],[],0.5
3.464102,2.0,0.9057209,Screenshot_x_3_464102_y_2_yaw_0_9057209.png,[],[],0.5
3.464102,2.0,0.5219495,Screenshot_x_3_464102_y_2_yaw_0_5219495.png,[],[],0.5
2.571151,3.064178,0.8707868,Screenshot_x_2_571151_y_3_064178_yaw_0_8707868.png,[],[],0.5
2.571151,3.064178,0.5045305,Screenshot_x_2_571151_y_3_064178_yaw_0_5045305.png,[],[],0.5
2.571151,3.064178,0.1391018,Screenshot_x_2_571151_y_3_064178_yaw_0_1391018.png,[],[],0.5
2.571151,3.064178,6.057127,Screenshot_x_2_571151_y_3_064178_yaw_6_057127.png,[],[],0.5
2.571151,3.064178,5.691539,Screenshot_x_2_571151_y_3_064178_yaw_5_691539.png,[],[],0.5
2.571151,3.064178,5.325047,Screenshot_x_2_571151_y_3_064178_yaw_5_325047.png,[],[],0.5
2.571151,3.064178,4.940119,Screenshot_x_2_571151_y_3_064178_yaw_4_940119.png,[],[],0.5
2.571151,3.064178,4.572237,Screenshot_x_2_571151_y_3_064178_yaw_4_572237.png,[],[],0.5
2.571151,3.064178,4.204625,Screenshot_x_2_571151_y_3_064178_yaw_4_204625.png,[],[],0.5
2.571151,3.064178,3.837848,Screenshot_x_2_571151_y_3_064178_yaw_3_837848.png,[],[0.6559949517250061],0.5
2.571151,3.064178,3.472034,Screenshot_x_2_571151_y_3_064178_yaw_3_472034.png,[],[],0.5
2.571151,3.064178,3.106819,Screenshot_x_2_571151_y_3_064178_yaw_3_106819.png,[],[],0.5
2.571151,3.064178,2.724128,Screenshot_x_2_571151_y_3_064178_yaw_2_724128.png,[],[],0.5
2.571151,3.064178,2.358101,Screenshot_x_2_571151_y_3_064178_yaw_2_358101.png,[],[],0.5
2.571151,3.064178,1.991094,Screenshot_x_2_571151_y_3_064178_yaw_1_991094.png,[],[],0.5
2.571151,3.064178,1.623356,Screenshot_x_2_571151_y_3_064178_yaw_1_623356.png,[],[],0.5
2.571151,3.064178,1.255515,Screenshot_x_2_571151_y_3_064178_yaw_1_255515.png,[],[],0.5
2.571151,3.064178,0.8707866,Screenshot_x_2_571151_y_3_064178_yaw_0_8707866.png,[],[],0.5
1.368081,3.75877,1.220503,Screenshot_x_1_368081_y_3_75877_yaw_1_220503.png,[],[],0.5
1.368081,3.75877,0.8533229,Screenshot_x_1_368081_y_3_75877_yaw_0_8533229.png,[],[],0.5
1.368081,3.75877,0.4871133,Screenshot_x_1_368081_y_3_75877_yaw_0_4871133.png,[],[],0.5
1.368081,3.75877,0.1217125,Screenshot_x_1_368081_y_3_75877_yaw_0_1217125.png,[],[],0.5
1.368081,3.75877,6.039732,Screenshot_x_1_368081_y_3_75877_yaw_6_039732.png,[],[],0.5
1.368081,3.75877,5.674109,Screenshot_x_1_368081_y_3_75877_yaw_5_674109.png,[],[],0.5
1.368081,3.75877,5.290091,Screenshot_x_1_368081_y_3_75877_yaw_5_290091.png,[],[],0.5
1.368081,3.75877,4.922605,Screenshot_x_1_368081_y_3_75877_yaw_4_922605.png,[],[],0.5
1.368081,3.75877,4.554719,Screenshot_x_1_368081_y_3_75877_yaw_4_554719.png,[],[],0.5
1.368081,3.75877,4.187138,Screenshot_x_1_368081_y_3_75877_yaw_4_187138.png,[],[0.786865770816803],0.5
1.368081,3.75877,3.820407,Screenshot_x_1_368081_y_3_75877_yaw_3_820407.png,[],[],0.5
1.368081,3.75877,3.454633,Screenshot_x_1_368081_y_3_75877_yaw_3_454633.png,[],[],0.5
1.368081,3.75877,3.072044,Screenshot_x_1_368081_y_3_75877_yaw_3_072044.png,[],[],0.5
1.368081,3.75877,2.706719,Screenshot_x_1_368081_y_3_75877_yaw_2_706719.png,[],[],0.5
1.368081,3.75877,2.340647,Screenshot_x_1_368081_y_3_75877_yaw_2_340647.png,[],[],0.5
1.368081,3.75877,1.973595,Screenshot_x_1_368081_y_3_75877_yaw_1_973595.png,[],[],0.5
1.368081,3.75877,1.605836,Screenshot_x_1_368081_y_3_75877_yaw_1_605836.png,[],[],0.5
1.368081,3.75877,1.220503,Screenshot_x_1_368081_y_3_75877_yaw_1_220503.png,[],[],0.5
-3.496911e-07,4.0,1.570797,Screenshot_x_-3_496911E-07_y_4_yaw_1_570797.png,[],[],0.5
-3.496911e-07,4.0,1.203,Screenshot_x_-3_496911E-07_y_4_yaw_1_203.png,[],[],0.5
-3.496911e-07,4.0,0.835862,Screenshot_x_-3_496911E-07_y_4_yaw_0_835862.png,[],[],0.5
-3.496911e-07,4.0,0.4696985,Screenshot_x_-3_496911E-07_y_4_yaw_0_4696985.png,[],[],0.5
-3.496911e-07,4.0,0.1043245,Screenshot_x_-3_496911E-07_y_4_yaw_0_1043245.png,[],[],0.5
-3.496911e-07,4.0,6.022338,Screenshot_x_-3_496911E-07_y_4_yaw_6_022338.png,[],[],0.5
-3.496911e-07,4.0,5.639245,Screenshot_x_-3_496911E-07_y_4_yaw_5_639245.png,[],[],0.5
-3.496911e-07,4.0,5.272609,Screenshot_x_-3_496911E-07_y_4_yaw_5_272609.png,[],[],0.5
-3.496911e-07,4.0,4.905091,Screenshot_x_-3_496911E-07_y_4_yaw_4_905091.png,[],[0.6678618788719177],0.5
-3.496911e-07,4.0,4.537203,Screenshot_x_-3_496911E-07_y_4_yaw_4_537203.png,[],[0.6269972920417786],0.5
-3.496911e-07,4.0,4.169652,Screenshot_x_-3_496911E-07_y_4_yaw_4_169652.png,[],[],0.5
-3.496911e-07,4.0,3.802969,Screenshot_x_-3_496911E-07_y_4_yaw_3_802969.png,[],[],0.5
-3.496911e-07,4.0,3.419837,Screenshot_x_-3_496911E-07_y_4_yaw_3_419837.png,[],[],0.5
-3.496911e-07,4.0,3.054657,Screenshot_x_-3_496911E-07_y_4_yaw_3_054657.png,[],[],0.5
-3.496911e-07,4.0,2.689308,Screenshot_x_-3_496911E-07_y_4_yaw_2_689308.png,[],[],0.5
-3.496911e-07,4.0,2.32319,Screenshot_x_-3_496911E-07_y_4_yaw_2_32319.png,[],[],0.5
-3.496911e-07,4.0,1.956095,Screenshot_x_-3_496911E-07_y_4_yaw_1_956095.png,[],[],0.5
-3.496911e-07,4.0,1.570796,Screenshot_x_-3_496911E-07_y_4_yaw_1_570796.png,[],[],0.5
-1.368081,3.75877,1.921089,Screenshot_x_-1_368081_y_3_75877_yaw_1_921089.png,[],[],0.5
-1.368081,3.75877,1.553276,Screenshot_x_-1_368081_y_3_75877_yaw_1_553276.png,[],[],0.5
-1.368081,3.75877,1.185498,Screenshot_x_-1_368081_y_3_75877_yaw_1_185498.png,[],[],0.5
-1.368081,3.75877,0.8184027,Screenshot_x_-1_368081_y_3_75877_yaw_0_8184027.png,[],[],0.5
-1.368081,3.75877,0.4522853,Screenshot_x_-1_368081_y_3_75877_yaw_0_4522853.png,[],[],0.5
-1.368081,3.75877,0.08693611,Screenshot_x_-1_368081_y_3_75877_yaw_0_08693611.png,[],[],0.5
-1.368081,3.75877,5.987544,Screenshot_x_-1_368081_y_3_75877_yaw_5_987544.png,[],[],0.5
-1.368081,3.75877,5.621809,Screenshot_x_-1_368081_y_3_75877_yaw_5_621809.png,[],[],0.5
-1.368081,3.75877,5.255126,Screenshot_x_-1_368081_y_3_75877_yaw_5_255126.png,[],"[0.7572014927864075, 0.7429289817810059, 0.7238216996192932]",0.5
-1.368081,3.75877,4.887575,Screenshot_x_-1_368081_y_3_75877_yaw_4_887575.png,[],"[0.820428192615509, 0.6103753447532654]",0.5
-1.368081,3.75877,4.519687,Screenshot_x_-1_368081_y_3_75877_yaw_4_519687.png,[],[],0.5
-1.368081,3.75877,4.152169,Screenshot_x_-1_368081_y_3_75877_yaw_4_152169.png,[],[],0.5
-1.368081,3.75877,3.768099,Screenshot_x_-1_368081_y_3_75877_yaw_3_768099.png,[],[],0.5
-1.368081,3.75877,3.402441,Screenshot_x_-1_368081_y_3_75877_yaw_3_402441.png,[],[],0.5
-1.368081,3.75877,3.037269,Screenshot_x_-1_368081_y_3_75877_yaw_3_037269.png,[],[],0.5
-1.368081,3.75877,2.671894,Screenshot_x_-1_368081_y_3_75877_yaw_2_671894.png,[],[],0.5
-1.368081,3.75877,2.305731,Screenshot_x_-1_368081_y_3_75877_yaw_2_305731.png,[],[],0.5
-1.368081,3.75877,1.921089,Screenshot_x_-1_368081_y_3_75877_yaw_1_921089.png,[],[],0.5
-2.57115,3.064178,2.270806,Screenshot_x_-2_57115_y_3_064178_yaw_2_270806.png,[],[],0.5
-2.57115,3.064178,1.903584,Screenshot_x_-2_57115_y_3_064178_yaw_1_903584.png,[],[],0.5
-2.57115,3.064178,1.535756,Screenshot_x_-2_57115_y_3_064178_yaw_1_535756.png,[],[],0.5
-2.57115,3.064178,1.167997,Screenshot_x_-2_57115_y_3_064178_yaw_1_167997.png,[],[],0.5
-2.57115,3.064178,0.8009462,Screenshot_x_-2_57115_y_3_064178_yaw_0_8009462.png,[],[],0.5
-2.57115,3.064178,0.4348737,Screenshot_x_-2_57115_y_3_064178_yaw_0_4348737.png,[],[],0.5
-2.57115,3.064178,0.05216087,Screenshot_x_-2_57115_y_3_064178_yaw_0_05216087.png,[],[],0.5
-2.57115,3.064178,5.970145,Screenshot_x_-2_57115_y_3_064178_yaw_5_970145.png,[],[],0.5
-2.57115,3.064178,5.604371,Screenshot_x_-2_57115_y_3_064178_yaw_5_604371.png,[],"[0.8342189192771912, 0.8151256442070007, 0.6669618487358093]",0.5
-2.57115,3.064178,5.23764,Screenshot_x_-2_57115_y_3_064178_yaw_5_23764.png,[],[0.6205026507377625],0.5
-2.57115,3.064178,4.870059,Screenshot_x_-2_57115_y_3_064178_yaw_4_870059.png,[],[],0.5
-2.57115,3.064178,4.502173,Screenshot_x_-2_57115_y_3_064178_yaw_4_502173.png,[],[],0.5
-2.57115,3.064178,4.117208,Screenshot_x_-2_57115_y_3_064178_yaw_4_117208.png,[],[],0.5
-2.57115,3.064178,3.750668,Screenshot_x_-2_57115_y_3_064178_yaw_3_750668.png,[],[],0.5
-2.57115,3.064178,3.385045,Screenshot_x_-2_57115_y_3_064178_yaw_3_385045.png,[],[],0.5
-2.57115,3.064178,3.01988,Screenshot_x_-2_57115_y_3_064178_yaw_3_01988.png,[],[],0.5
-2.57115,3.064178,2.654479,Screenshot_x_-2_57115_y_3_064178_yaw_2_654479.png,[],[],0.5
-2.57115,3.064178,2.270806,Screenshot_x_-2_57115_y_3_064178_yaw_2_270806.png,[],[],0.5
-3.464102,2.0,2.619643,Screenshot_x_-3_464102_y_2_yaw_2_619643.png,[],[],0.5
-3.464102,2.0,2.25334,Screenshot_x_-3_464102_y_2_yaw_2_25334.png,[],[],0.5
-3.464102,2.0,1.886078,Screenshot_x_-3_464102_y_2_yaw_1_886078.png,[],[],0.5
-3.464102,2.0,1.518237,Screenshot_x_-3_464102_y_2_yaw_1_518237.png,[],[],0.5
-3.464102,2.0,1.150499,Screenshot_x_-3_464102_y_2_yaw_1_150499.png,[],[],0.5
-3.464102,2.0,0.7834919,Screenshot_x_-3_464102_y_2_yaw_0_7834919.png,[],[],0.5
-3.464102,2.0,0.4000564,Screenshot_x_-3_464102_y_2_yaw_0_4000564.png,[],[],0.5
-3.464102,2.0,0.03477393,Screenshot_x_-3_464102_y_2_yaw_0_03477393.png,[],[],0.5
-3.464102,2.0,5.952744,Screenshot_x_-3_464102_y_2_yaw_5_952744.png,[],[0.6169028878211975],0.5
-3.464102,2.0,5.586931,Screenshot_x_-3_464102_y_2_yaw_5_586931.png,[],[0.6937957406044006],0.5
-3.464102,2.0,5.220152,Screenshot_x_-3_464102_y_2_yaw_5_220152.png,[],[],0.5
-3.464102,2.0,4.852541,Screenshot_x_-3_464102_y_2_yaw_4_852541.png,[],[],0.5
-3.464102,2.0,4.467146,Screenshot_x_-3_464102_y_2_yaw_4_467146.png,[],[],0.5
-3.464102,2.0,4.099731,Screenshot_x_-3_464102_y_2_yaw_4_099731.png,[],[],0.5
-3.464102,2.0,3.733238,Screenshot_x_-3_464102_y_2_yaw_3_733238.png,[],[],0.5
-3.464102,2.0,3.367651,Screenshot_x_-3_464102_y_2_yaw_3_367651.png,[],[],0.5
-3.464102,2.0,3.002491,Screenshot_x_-3_464102_y_2_yaw_3_002491.png,[],[],0.5
-3.464102,2.0,2.619643,Screenshot_x_-3_464102_y_2_yaw_2_619643.png,[],[],0.5
-3.939231,0.6945925,2.967711,Screenshot_x_-3_939231_y_0_6945925_yaw_2_967711.png,[],[],0.5
-3.939231,0.6945925,2.602222,Screenshot_x_-3_939231_y_0_6945925_yaw_2_602222.png,[],[],0.5
-3.939231,0.6945925,2.235872,Screenshot_x_-3_939231_y_0_6945925_yaw_2_235872.png,[],[],0.5
-3.939231,0.6945925,1.86857,Screenshot_x_-3_939231_y_0_6945925_yaw_1_86857.png,[],[],0.5
-3.939231,0.6945925,1.500718,Screenshot_x_-3_939231_y_0_6945925_yaw_1_500718.png,[],[],0.5
-3.939231,0.6945925,1.133002,Screenshot_x_-3_939231_y_0_6945925_yaw_1_133002.png,[],[],0.5
-3.939231,0.6945925,0.7485902,Screenshot_x_-3_939231_y_0_6945925_yaw_0_7485902.png,[],[],0.5
-3.939231,0.6945925,0.3826501,Screenshot_x_-3_939231_y_0_6945925_yaw_0_3826501.png,[],[],0.5
-3.939231,0.6945925,0.01738692,Screenshot_x_-3_939231_y_0_6945925_yaw_0_01738692.png,[],"[0.7794530391693115, 0.764176607131958, 0.7584134936332703, 0.6880659461021423]",0.49
-3.939231,0.6945925,5.935343,Screenshot_x_-3_939231_y_0_6945925_yaw_5_935343.png,[],"[0.8052477836608887, 0.6958373188972473]",0.5
-3.939231,0.6945925,5.569488,Screenshot_x_-3_939231_y_0_6945925_yaw_5_569488.png,[],[],0.5
-3.939231,0.6945925,5.202663,Screenshot_x_-3_939231_y_0_6945925_yaw_5_202663.png,[],[],0.5
-3.939231,0.6945925,4.817506,Screenshot_x_-3_939231_y_0_6945925_yaw_4_817506.png,[],[],0.5
